instance_path,instance_name,A,N,seed,algorithm,resultado,tiempo,memoria
data/instancias/inst_A10_N5_0_20251207185750.txt,inst_A10_N5_0_20251207185750,10,5,43,brute_force,1755,0.0014044999988982,768
data/instancias/inst_A10_N5_0_20251207185750.txt,inst_A10_N5_0_20251207185750,10,5,43,recursive,1755,0.0007347999999183,384
data/instancias/inst_A10_N5_0_20251207185750.txt,inst_A10_N5_0_20251207185750,10,5,43,memo,1755,0.0003393000006326,7064
data/instancias/inst_A10_N5_0_20251207185750.txt,inst_A10_N5_0_20251207185750,10,5,43,dp,1755,0.0004214000000501,1632
data/instancias/inst_A10_N5_1_20251207185750.txt,inst_A10_N5_1_20251207185750,10,5,44,brute_force,1501,0.0009761999972397,768
data/instancias/inst_A10_N5_1_20251207185750.txt,inst_A10_N5_1_20251207185750,10,5,44,recursive,1501,0.000705000002199,384
data/instancias/inst_A10_N5_1_20251207185750.txt,inst_A10_N5_1_20251207185750,10,5,44,memo,1501,0.0003432999983488,7632
data/instancias/inst_A10_N5_1_20251207185750.txt,inst_A10_N5_1_20251207185750,10,5,44,dp,1501,0.0002690999972401,1552
data/instancias/inst_A10_N5_2_20251207185750.txt,inst_A10_N5_2_20251207185750,10,5,45,brute_force,1206,0.0002538000007916,704
data/instancias/inst_A10_N5_2_20251207185750.txt,inst_A10_N5_2_20251207185750,10,5,45,recursive,1206,0.0001636000015423,320
data/instancias/inst_A10_N5_2_20251207185750.txt,inst_A10_N5_2_20251207185750,10,5,45,memo,1206,0.0002008000010391,4744
data/instancias/inst_A10_N5_2_20251207185750.txt,inst_A10_N5_2_20251207185750,10,5,45,dp,1206,0.0002394999974058,1392
data/instancias/inst_A10_N5_3_20251207185750.txt,inst_A10_N5_3_20251207185750,10,5,46,brute_force,1650,0.0005743999972764,640
data/instancias/inst_A10_N5_3_20251207185750.txt,inst_A10_N5_3_20251207185750,10,5,46,recursive,1650,0.0003660000002128,272
data/instancias/inst_A10_N5_3_20251207185750.txt,inst_A10_N5_3_20251207185750,10,5,46,memo,1650,0.0004153000008955,7688
data/instancias/inst_A10_N5_3_20251207185750.txt,inst_A10_N5_3_20251207185750,10,5,46,dp,1650,0.0002516999993531,1832
data/instancias/inst_A10_N10_0_20251207185750.txt,inst_A10_N10_0_20251207185750,10,10,47,brute_force,1950,0.0067311999991943,784
data/instancias/inst_A10_N10_0_20251207185750.txt,inst_A10_N10_0_20251207185750,10,10,47,recursive,1950,0.0035998000021209,448
data/instancias/inst_A10_N10_0_20251207185750.txt,inst_A10_N10_0_20251207185750,10,10,47,memo,1950,0.000895400000445,14344
data/instancias/inst_A10_N10_0_20251207185750.txt,inst_A10_N10_0_20251207185750,10,10,47,dp,1950,0.0006356999983836,3072
data/instancias/inst_A10_N10_1_20251207185750.txt,inst_A10_N10_1_20251207185750,10,10,48,brute_force,1880,0.0059071999967272,784
data/instancias/inst_A10_N10_1_20251207185750.txt,inst_A10_N10_1_20251207185750,10,10,48,recursive,1880,0.0043942999982391,480
data/instancias/inst_A10_N10_1_20251207185750.txt,inst_A10_N10_1_20251207185750,10,10,48,memo,1880,0.0008056000006035,8712
data/instancias/inst_A10_N10_1_20251207185750.txt,inst_A10_N10_1_20251207185750,10,10,48,dp,1880,0.0006422999977075,2624
data/instancias/inst_A10_N10_2_20251207185750.txt,inst_A10_N10_2_20251207185750,10,10,49,brute_force,1700,0.0101857999979984,832
data/instancias/inst_A10_N10_2_20251207185750.txt,inst_A10_N10_2_20251207185750,10,10,49,recursive,1700,0.0036717000002681,400
data/instancias/inst_A10_N10_2_20251207185750.txt,inst_A10_N10_2_20251207185750,10,10,49,memo,1700,0.0007481000029656,11352
data/instancias/inst_A10_N10_2_20251207185750.txt,inst_A10_N10_2_20251207185750,10,10,49,dp,1700,0.0005939000002399,2608
data/instancias/inst_A10_N10_3_20251207185750.txt,inst_A10_N10_3_20251207185750,10,10,50,brute_force,1684,0.0106745000011869,832
data/instancias/inst_A10_N10_3_20251207185750.txt,inst_A10_N10_3_20251207185750,10,10,50,recursive,1684,0.0068414000015764,400
data/instancias/inst_A10_N10_3_20251207185750.txt,inst_A10_N10_3_20251207185750,10,10,50,memo,1684,0.0007356999994954,14048
data/instancias/inst_A10_N10_3_20251207185750.txt,inst_A10_N10_3_20251207185750,10,10,50,dp,1684,0.0007078000016917,2792
data/instancias/inst_A10_N15_0_20251207185750.txt,inst_A10_N15_0_20251207185750,10,15,51,brute_force,1972,0.0232203999985358,832
data/instancias/inst_A10_N15_0_20251207185750.txt,inst_A10_N15_0_20251207185750,10,15,51,recursive,1972,0.0130109999990963,432
data/instancias/inst_A10_N15_0_20251207185750.txt,inst_A10_N15_0_20251207185750,10,15,51,memo,1972,0.0012224000020069,15704
data/instancias/inst_A10_N15_0_20251207185750.txt,inst_A10_N15_0_20251207185750,10,15,51,dp,1972,0.0008720000005268,3616
data/instancias/inst_A10_N15_1_20251207185750.txt,inst_A10_N15_1_20251207185750,10,15,52,brute_force,1852,0.0172873999981675,832
data/instancias/inst_A10_N15_1_20251207185750.txt,inst_A10_N15_1_20251207185750,10,15,52,recursive,1852,0.0047429000005649,384
data/instancias/inst_A10_N15_1_20251207185750.txt,inst_A10_N15_1_20251207185750,10,15,52,memo,1852,0.0008123999978124,15336
data/instancias/inst_A10_N15_1_20251207185750.txt,inst_A10_N15_1_20251207185750,10,15,52,dp,1852,0.0007312000016099,3496
data/instancias/inst_A10_N15_2_20251207185750.txt,inst_A10_N15_2_20251207185750,10,15,53,brute_force,1985,0.0597011000027123,864
data/instancias/inst_A10_N15_2_20251207185750.txt,inst_A10_N15_2_20251207185750,10,15,53,recursive,1985,0.0218100999991293,496
data/instancias/inst_A10_N15_2_20251207185750.txt,inst_A10_N15_2_20251207185750,10,15,53,memo,1985,0.0011924999998882,15984
