instance_path,instance_name,A,N,seed,algorithm,resultado,tiempo,memoria
data/instancias/inst_A10_N5_0_20251208183448.txt,inst_A10_N5_0_20251208183448,10,5,43,brute_force,1755,0.001339999958872795,768
data/instancias/inst_A10_N5_0_20251208183448.txt,inst_A10_N5_0_20251208183448,10,5,43,recursive,1755,0.0007439999608322978,384
data/instancias/inst_A10_N5_0_20251208183448.txt,inst_A10_N5_0_20251208183448,10,5,43,memo,1755,0.0003404999151825905,6272
data/instancias/inst_A10_N5_0_20251208183448.txt,inst_A10_N5_0_20251208183448,10,5,43,dp,1755,0.0004285000031813979,1632
data/instancias/inst_A10_N5_1_20251208183448.txt,inst_A10_N5_1_20251208183448,10,5,44,brute_force,1501,0.0016337999841198325,800
data/instancias/inst_A10_N5_1_20251208183448.txt,inst_A10_N5_1_20251208183448,10,5,44,recursive,1501,0.0006650000577792525,384
data/instancias/inst_A10_N5_1_20251208183448.txt,inst_A10_N5_1_20251208183448,10,5,44,memo,1501,0.0002706999657675624,7120
data/instancias/inst_A10_N5_1_20251208183448.txt,inst_A10_N5_1_20251208183448,10,5,44,dp,1501,0.0004886999959126115,1664
data/instancias/inst_A10_N5_2_20251208183448.txt,inst_A10_N5_2_20251208183448,10,5,45,brute_force,1206,0.00028439995367079973,704
data/instancias/inst_A10_N5_2_20251208183448.txt,inst_A10_N5_2_20251208183448,10,5,45,recursive,1206,0.00034959998447448015,320
data/instancias/inst_A10_N5_2_20251208183448.txt,inst_A10_N5_2_20251208183448,10,5,45,memo,1206,0.0003519000019878149,4552
data/instancias/inst_A10_N5_2_20251208183448.txt,inst_A10_N5_2_20251208183448,10,5,45,dp,1206,0.00034819997381418943,1448
data/instancias/inst_A10_N5_3_20251208183448.txt,inst_A10_N5_3_20251208183448,10,5,46,brute_force,1650,0.00044380000326782465,640
data/instancias/inst_A10_N5_3_20251208183448.txt,inst_A10_N5_3_20251208183448,10,5,46,recursive,1650,0.00040550006087869406,272
data/instancias/inst_A10_N5_3_20251208183448.txt,inst_A10_N5_3_20251208183448,10,5,46,memo,1650,0.0002476000227034092,7568
data/instancias/inst_A10_N5_3_20251208183448.txt,inst_A10_N5_3_20251208183448,10,5,46,dp,1650,0.0003988000098615885,1832
data/instancias/inst_A10_N10_0_20251208183448.txt,inst_A10_N10_0_20251208183448,10,10,47,brute_force,1950,0.00613540003541857,800
data/instancias/inst_A10_N10_0_20251208183448.txt,inst_A10_N10_0_20251208183448,10,10,47,recursive,1950,0.005826500011608005,448
data/instancias/inst_A10_N10_0_20251208183448.txt,inst_A10_N10_0_20251208183448,10,10,47,memo,1950,0.0010215999791398644,11984
data/instancias/inst_A10_N10_0_20251208183448.txt,inst_A10_N10_0_20251208183448,10,10,47,dp,1950,0.000660100020468235,3072
data/instancias/inst_A10_N10_1_20251208183448.txt,inst_A10_N10_1_20251208183448,10,10,48,brute_force,1880,0.005654699984006584,800
data/instancias/inst_A10_N10_1_20251208183448.txt,inst_A10_N10_1_20251208183448,10,10,48,recursive,1880,0.003987700096331537,480
data/instancias/inst_A10_N10_1_20251208183448.txt,inst_A10_N10_1_20251208183448,10,10,48,memo,1880,0.0005144000751897693,8592
data/instancias/inst_A10_N10_1_20251208183448.txt,inst_A10_N10_1_20251208183448,10,10,48,dp,1880,0.0006029999349266291,2624
data/instancias/inst_A10_N10_2_20251208183448.txt,inst_A10_N10_2_20251208183448,10,10,49,brute_force,1700,0.009943099925294518,832
data/instancias/inst_A10_N10_2_20251208183448.txt,inst_A10_N10_2_20251208183448,10,10,49,recursive,1700,0.0036501999711617827,400
data/instancias/inst_A10_N10_2_20251208183448.txt,inst_A10_N10_2_20251208183448,10,10,49,memo,1700,0.0005833999020978808,13472
data/instancias/inst_A10_N10_2_20251208183448.txt,inst_A10_N10_2_20251208183448,10,10,49,dp,1700,0.0005326999817043543,2608
data/instancias/inst_A10_N10_3_20251208183448.txt,inst_A10_N10_3_20251208183448,10,10,50,brute_force,1684,0.0102099000941962,832
data/instancias/inst_A10_N10_3_20251208183448.txt,inst_A10_N10_3_20251208183448,10,10,50,recursive,1684,0.00590549991466105,400
data/instancias/inst_A10_N10_3_20251208183448.txt,inst_A10_N10_3_20251208183448,10,10,50,memo,1684,0.0007010999834164977,13928
data/instancias/inst_A10_N10_3_20251208183448.txt,inst_A10_N10_3_20251208183448,10,10,50,dp,1684,0.0006196999456733465,2792
data/instancias/inst_A10_N15_0_20251208183448.txt,inst_A10_N15_0_20251208183448,10,15,51,brute_force,1972,0.02113390003796667,864
data/instancias/inst_A10_N15_0_20251208183448.txt,inst_A10_N15_0_20251208183448,10,15,51,recursive,1972,0.012268600054085255,432
data/instancias/inst_A10_N15_0_20251208183448.txt,inst_A10_N15_0_20251208183448,10,15,51,memo,1972,0.000972700072452426,15584
data/instancias/inst_A10_N15_0_20251208183448.txt,inst_A10_N15_0_20251208183448,10,15,51,dp,1972,0.0009215000318363309,3616
data/instancias/inst_A10_N15_1_20251208183448.txt,inst_A10_N15_1_20251208183448,10,15,52,brute_force,1852,0.015222399961203337,832
data/instancias/inst_A10_N15_1_20251208183448.txt,inst_A10_N15_1_20251208183448,10,15,52,recursive,1852,0.005111800041049719,384
data/instancias/inst_A10_N15_1_20251208183448.txt,inst_A10_N15_1_20251208183448,10,15,52,memo,1852,0.0007207000162452459,15288
data/instancias/inst_A10_N15_1_20251208183448.txt,inst_A10_N15_1_20251208183448,10,15,52,dp,1852,0.0007151999743655324,3496
data/instancias/inst_A10_N15_2_20251208183448.txt,inst_A10_N15_2_20251208183448,10,15,53,brute_force,1985,0.05627449997700751,864
data/instancias/inst_A10_N15_2_20251208183448.txt,inst_A10_N15_2_20251208183448,10,15,53,recursive,1985,0.022444200003519654,496
data/instancias/inst_A10_N15_2_20251208183448.txt,inst_A10_N15_2_20251208183448,10,15,53,memo,1985,0.0008298000320792198,9864
data/instancias/inst_A10_N15_2_20251208183448.txt,inst_A10_N15_2_20251208183448,10,15,53,dp,1985,0.00081619992852211,3392
data/instancias/inst_A10_N15_3_20251208183448.txt,inst_A10_N15_3_20251208183448,10,15,54,brute_force,1831,0.06103770004119724,928
data/instancias/inst_A10_N15_3_20251208183448.txt,inst_A10_N15_3_20251208183448,10,15,54,recursive,1831,0.05365969997365028,512
